externalId,quantity,unitPrice
EXT-DUP-001,82,112.11
EXT-DUP-002,95,275.48
EXT-DUP-003,29,140.26
EXT-DUP-004,14,676.35
EXT-DUP-005,70,87.76
EXT-DUP-006,55,32.72
EXT-DUP-007,12,219.2
EXT-DUP-008,65,601.81
EXT-DUP-009,72,199.44
EXT-DUP-010,84,700.92
EXT-DUP-011,54,221.0
EXT-DUP-012,76,278.63
EXT-DUP-013,1,758.29
EXT-DUP-014,21,697.74
EXT-DUP-015,44,278.32
EXT-DUP-016,28,956.3
EXT-DUP-017,44,103.01
EXT-DUP-018,49,97.52
EXT-DUP-019,45,603.52
EXT-DUP-020,6,729.27
EXT-DUP-021,69,125.58
EXT-DUP-022,49,79.64
EXT-DUP-023,38,828.75
EXT-DUP-024,80,884.68
EXT-DUP-025,47,577.2
EXT-DUP-026,91,70.42
EXT-DUP-027,85,228.44
EXT-DUP-028,38,984.25
EXT-DUP-029,30,865.75
EXT-DUP-030,49,278.42
EXT-DUP-031,82,833.44
EXT-DUP-032,21,370.44
EXT-DUP-033,27,669.83
EXT-DUP-034,90,935.78
EXT-DUP-035,83,72.26
EXT-DUP-036,82,171.8
EXT-DUP-037,94,245.32
EXT-DUP-038,60,379.7
EXT-DUP-039,82,687.79
EXT-DUP-040,29,684.25
EXT-DUP-041,99,775.45
EXT-DUP-042,30,821.16
EXT-DUP-043,41,401.36
EXT-DUP-044,9,211.56
EXT-DUP-045,73,875.61
EXT-DUP-046,41,213.2
EXT-DUP-047,64,395.84
EXT-DUP-048,83,458.93
EXT-DUP-049,34,140.35
EXT-DUP-050,96,561.25
EXT-DUP-051,34,746.52
EXT-DUP-052,55,897.03
EXT-DUP-053,52,362.27
EXT-DUP-054,18,509.51
EXT-DUP-055,12,755.27
EXT-DUP-056,15,153.54
EXT-DUP-057,21,791.5
EXT-DUP-058,55,596.22
EXT-DUP-059,50,381.86
EXT-DUP-060,60,529.06
EXT-DUP-061,71,860.06
EXT-DUP-062,2,679.92
EXT-DUP-063,15,681.35
EXT-DUP-064,69,750.38
EXT-DUP-065,99,640.68
EXT-DUP-066,15,293.91
EXT-DUP-067,21,453.82
EXT-DUP-068,93,875.1
EXT-DUP-069,34,970.94
EXT-DUP-070,98,179.29
EXT-DUP-071,14,869.78
EXT-DUP-072,39,840.99
EXT-DUP-073,65,608.75
EXT-DUP-074,20,374.17
EXT-DUP-075,21,539.3
EXT-DUP-076,100,921.59
EXT-DUP-077,1,598.75
EXT-DUP-078,63,20.44
EXT-DUP-079,47,877.96
EXT-DUP-080,40,239.97
EXT-DUP-081,31,877.25
EXT-DUP-082,11,86.48
EXT-DUP-083,63,815.39
EXT-DUP-084,98,532.64
EXT-DUP-085,17,129.13
EXT-DUP-086,61,945.95
EXT-DUP-087,22,265.53
EXT-DUP-088,78,423.29
EXT-DUP-089,28,928.06
EXT-DUP-090,97,729.47
EXT-DUP-091,26,712.52
EXT-DUP-092,52,994.16
EXT-DUP-093,84,373.67
EXT-DUP-094,67,451.58
EXT-DUP-095,32,225.25
EXT-DUP-096,44,21.99
EXT-DUP-097,71,230.65
EXT-DUP-098,29,8.18
EXT-DUP-099,91,630.84
EXT-DUP-100,30,68.27
EXT-DUP-101,5,858.92
EXT-DUP-102,10,514.13
EXT-DUP-103,36,668.64
EXT-DUP-104,28,539.16
EXT-DUP-105,93,934.64
EXT-DUP-106,74,576.06
EXT-DUP-107,32,784.05
EXT-DUP-108,53,191.03
EXT-DUP-109,13,658.66
EXT-DUP-110,46,423.73
EXT-DUP-111,60,863.11
EXT-DUP-112,7,673.02
EXT-DUP-113,83,99.22
EXT-DUP-114,52,727.76
EXT-DUP-115,14,249.16
EXT-DUP-116,25,536.21
EXT-DUP-117,18,422.04
EXT-DUP-118,36,462.7
EXT-DUP-119,10,443.24
EXT-DUP-120,71,98.71
EXT-DUP-121,84,998.28
EXT-DUP-122,2,968.06
EXT-DUP-123,97,848.0
EXT-DUP-124,22,406.6
EXT-DUP-125,62,214.32
EXT-DUP-126,52,901.64
EXT-DUP-127,22,379.22
EXT-DUP-128,50,265.67
EXT-DUP-129,59,285.68
EXT-DUP-130,90,956.4
EXT-DUP-131,72,661.55
EXT-DUP-132,63,155.49
EXT-DUP-133,38,218.27
EXT-DUP-134,8,579.02
EXT-DUP-135,70,61.84
EXT-DUP-136,41,58.05
EXT-DUP-137,75,476.83
EXT-DUP-138,68,158.12
EXT-DUP-139,66,80.95
EXT-DUP-140,24,69.38
EXT-DUP-141,9,674.86
EXT-DUP-142,31,403.97
EXT-DUP-143,73,246.72
EXT-DUP-144,77,40.66
EXT-DUP-145,11,419.39
EXT-DUP-146,75,565.1
EXT-DUP-147,41,933.84
EXT-DUP-148,27,669.39
EXT-DUP-149,41,239.21
EXT-DUP-150,51,131.62
EXT-DUP-151,83,300.4
EXT-DUP-152,41,928.16
EXT-DUP-153,10,10.3
EXT-DUP-154,80,997.46
EXT-DUP-155,13,74.11
EXT-DUP-156,28,505.87
EXT-DUP-157,17,932.39
EXT-DUP-158,9,878.51
EXT-DUP-159,48,285.42
EXT-DUP-160,57,833.08
EXT-DUP-161,91,302.91
EXT-DUP-162,84,528.88
EXT-DUP-163,86,816.47
EXT-DUP-164,39,930.89
EXT-DUP-165,14,938.05
EXT-DUP-166,18,264.94
EXT-DUP-167,14,741.93
EXT-DUP-168,20,272.8
EXT-DUP-169,78,211.21
EXT-DUP-170,44,204.19
EXT-DUP-171,82,852.21
EXT-DUP-172,65,488.55
EXT-DUP-173,7,93.11
EXT-DUP-174,55,828.69
EXT-DUP-175,6,4.54
EXT-DUP-176,99,131.56
EXT-DUP-177,34,162.26
EXT-DUP-178,57,551.58
EXT-DUP-179,55,560.79
EXT-DUP-180,15,76.09
EXT-DUP-181,89,903.12
EXT-DUP-182,70,36.96
EXT-DUP-183,48,582.34
EXT-DUP-184,19,429.93
EXT-DUP-185,6,308.64
EXT-DUP-186,6,898.13
EXT-DUP-187,27,681.7
EXT-DUP-188,86,103.59
EXT-DUP-189,100,559.76
EXT-DUP-190,53,972.89
EXT-DUP-191,96,155.24
EXT-DUP-192,31,863.88
EXT-DUP-193,23,880.65
EXT-DUP-194,4,180.0
EXT-DUP-195,43,781.82
EXT-DUP-196,53,801.63
EXT-DUP-197,95,810.13
EXT-DUP-198,35,159.88
EXT-DUP-199,90,108.88
EXT-DUP-200,5,857.88
EXT-DUP-201,29,200.17
EXT-DUP-202,59,349.96
EXT-DUP-203,30,223.48
EXT-DUP-204,85,193.74
EXT-DUP-205,43,279.05
EXT-DUP-206,9,965.96
EXT-DUP-207,36,351.44
EXT-DUP-208,66,399.88
EXT-DUP-209,69,331.49
EXT-DUP-210,4,116.11
EXT-DUP-211,34,179.21
EXT-DUP-212,34,39.18
EXT-DUP-213,77,434.69
EXT-DUP-214,94,785.86
EXT-DUP-215,56,606.0
EXT-DUP-216,66,116.41
EXT-DUP-217,74,190.7
EXT-DUP-218,6,708.37
EXT-DUP-219,1,519.88
EXT-DUP-220,69,686.48
EXT-DUP-221,95,736.56
EXT-DUP-222,26,364.49
EXT-DUP-223,9,947.98
EXT-DUP-224,43,622.91
EXT-DUP-225,85,847.32
EXT-DUP-226,93,899.25
EXT-DUP-227,65,309.67
EXT-DUP-228,53,326.53
EXT-DUP-229,90,296.06
EXT-DUP-230,17,192.46
EXT-DUP-231,86,939.48
EXT-DUP-232,87,747.64
EXT-DUP-233,23,615.28
EXT-DUP-234,39,406.26
EXT-DUP-235,1,304.27
EXT-DUP-236,27,430.03
EXT-DUP-237,75,606.45
EXT-DUP-238,42,465.06
EXT-DUP-239,57,675.28
